designer,mean_lightness,mean_saturation,color_diversity,n_images
Celine,143.5074500790387,12.320556348392508,26.238266256673278,98
Proenza Schouler,133.67660462702068,9.963405166453406,25.710655824937398,95
Anna Sui,121.25698172568713,17.205754629780532,25.302879784045555,92
Emilio Pucci,134.85950446289868,14.45754828772611,27.01038639152385,91
Thom Browne,130.78182880172687,8.469623311681431,23.97492915427165,91
Elie Saab,132.472595023189,14.37764217202219,25.211136088272912,90
Narciso Rodriguez,130.05900614727173,10.116206040544013,25.91969387352452,86
Moschino,127.22556322114377,13.653356130174771,27.75268591635039,84
Carolina Herrera,145.57555194062516,13.594751056302407,26.899709050818014,82
Etro,123.10484487660071,14.95328141710568,25.79924084743524,82
Altuzarra,125.30793383268701,13.02217963971016,25.522122914341693,80
3.1 Phillip Lim,129.4253295230924,9.454828305988613,24.577803145696723,80
Kenzo,121.10319008987135,14.17748758601922,26.46792492825259,78
Vera Wang,120.2160086882806,10.634556683074257,25.984563229002212,78
Comme des Garçons,125.5812326883525,16.02323504195056,27.935264281338085,78
Alexander Wang,112.93865767146515,7.709365538919539,24.84342588226878,78
Nina Ricci,142.13329716810802,11.8816478629086,25.33097643803354,76
Yohji Yamamoto,114.30048836827415,8.921846383434541,25.69568317634837,75
Donna Karan,125.29429719984228,13.7079789008458,24.83747572790483,75
Erdem,119.8786382898087,11.044192769357101,25.060536923941928,75
John Galliano,127.87655493435523,17.0315532741806,25.66563454848998,74
Rag & Bone,119.2853618026962,10.036425715213948,25.47563466469513,74
Marc by Marc Jacobs,129.72830226876735,11.532236322344943,26.65118687691496,72
Loewe,133.16047755361623,10.020781508198043,25.54315438199957,72
Rochas,129.36718820687378,12.665615206144516,25.421553309947637,72
Junya Watanabe,124.80022375090128,10.326009071701407,26.164037785438044,66
Diane von Furstenberg,124.68045551618408,12.960737226591576,27.03412191209981,64
Christopher Kane,138.08134853472302,11.592378020435525,26.221578102471124,63
Armani Privé,118.39765245552832,12.503335664862037,25.053273120343967,61
Christian Lacroix,115.92642006599971,24.02088966115728,27.547355792668835,60
Prabal Gurung,137.09799320628767,14.973178620455661,26.8741154793081,60
Paul Smith,127.34227144617,11.975236531804216,26.59095833927582,58
Helmut Lang,145.37884040357903,7.853777920826617,25.708577796303786,57
Viktor & Rolf,126.728294411452,9.716648251585928,24.384510298605868,57
Undercover,117.82866979049109,14.179960538600273,25.091204599891267,56
DKNY,137.3574799721862,14.584094627807767,25.629284086148775,56
Mary Katrantzou,118.2551272391551,13.440020075481975,26.168345201466312,55
Central Saint Martins,155.7552942380729,7.078651151378593,25.89931624828502,54
Jason Wu Collection,130.32055445588367,9.574994968897014,24.89914584071669,54
Alberta Ferretti,117.70193612043629,12.070155734072705,25.151664333316685,54
Sacai,128.36631994373298,8.069211145295824,26.30742954674673,53
Isabel Marant,143.05359890499946,10.96469877121256,24.955616675879245,53
Andreas Kronthaler for Vivienne Westwood,119.18186906154767,15.764033638495265,25.874142919620716,53
Tod’s,134.57264210104165,17.524677307521348,25.896089772740375,52
Max Mara,137.23449493845143,9.78903104479828,25.23510582637658,52
Derek Lam,138.25219037009538,11.529977143053044,25.36092825725642,51
Monique Lhuillier,163.41094211305622,9.08855011826073,23.956133494938467,50
