year,palette_id,palette_name,count,percentage
2004,001,Plum Mouse Gray,86,21.93877551020408
2004,002,Shrimp Brown,23,5.86734693877551
2004,003,Fukagawa Mouse Gray,4,1.0204081632653061
2004,004,Cherry Mouse Gray,28,7.142857142857143
2004,005,Indigo Mouse Gray,33,8.418367346938776
2004,006,Willow Mouse Gray,3,0.7653061224489796
2004,007,Nightingale Brown,32,8.16326530612245
2004,008,Seaweed Brown,12,3.061224489795918
2004,009,Navy Blue,3,0.7653061224489796
2004,010,Crimson,9,2.295918367346939
2004,011,Nightingale Green,1,0.25510204081632654
2004,012,Siskin Brown,1,0.25510204081632654
2004,014,Azuki Bean Red,7,1.7857142857142858
2004,016,Mustard,3,0.7653061224489796
2004,017,Peony Pink,1,0.25510204081632654
2004,025,Purple,1,0.25510204081632654
2004,026,Mouse Gray,25,6.377551020408164
2004,027,Ink Black,104,26.53061224489796
2004,031,Burnt Sienna,15,3.826530612244898
2004,038,Maroon,1,0.25510204081632654
2005,001,Plum Mouse Gray,104,17.50841750841751
2005,002,Shrimp Brown,73,12.289562289562289
2005,003,Fukagawa Mouse Gray,12,2.0202020202020203
2005,004,Cherry Mouse Gray,54,9.090909090909092
2005,005,Indigo Mouse Gray,45,7.575757575757576
2005,006,Willow Mouse Gray,6,1.0101010101010102
2005,007,Nightingale Brown,37,6.228956228956229
2005,008,Seaweed Brown,14,2.356902356902357
2005,009,Navy Blue,15,2.525252525252525
2005,010,Crimson,9,1.5151515151515151
2005,011,Nightingale Green,1,0.16835016835016836
2005,012,Siskin Brown,1,0.16835016835016836
2005,014,Azuki Bean Red,9,1.5151515151515151
2005,016,Mustard,5,0.8417508417508418
2005,021,Dayflower Blue,1,0.16835016835016836
2005,024,Crimson Red,1,0.16835016835016836
2005,025,Purple,4,0.6734006734006734
2005,026,Mouse Gray,32,5.3872053872053876
2005,027,Ink Black,129,21.717171717171716
2005,031,Burnt Sienna,42,7.070707070707071
2006,001,Plum Mouse Gray,124,20.26143790849673
2006,002,Shrimp Brown,46,7.516339869281046
2006,003,Fukagawa Mouse Gray,13,2.1241830065359477
2006,004,Cherry Mouse Gray,47,7.6797385620915035
2006,005,Indigo Mouse Gray,50,8.169934640522875
