year,palette_id,palette_name,count,percentage
2019,009,Navy Blue,7,0.9971509971509972
2019,010,Crimson,4,0.5698005698005698
2019,014,Azuki Bean Red,49,6.98005698005698
2019,017,Peony Pink,1,0.14245014245014245
2019,021,Dayflower Blue,8,1.1396011396011396
2019,025,Purple,2,0.2849002849002849
2019,026,Mouse Gray,88,12.535612535612536
2019,027,Ink Black,343,48.86039886039886
2020,001,Plum Mouse Gray,30,4.3478260869565215
2020,002,Shrimp Brown,36,5.217391304347826
2020,003,Fukagawa Mouse Gray,2,0.2898550724637681
2020,004,Cherry Mouse Gray,7,1.0144927536231885
2020,005,Indigo Mouse Gray,12,1.7391304347826086
2020,007,Nightingale Brown,48,6.956521739130435
2020,008,Seaweed Brown,21,3.0434782608695654
2020,009,Navy Blue,8,1.1594202898550725
2020,010,Crimson,2,0.2898550724637681
2020,011,Nightingale Green,3,0.43478260869565216
2020,014,Azuki Bean Red,50,7.246376811594203
2020,015,Water Blue,1,0.14492753623188406
2020,021,Dayflower Blue,12,1.7391304347826086
2020,024,Crimson Red,1,0.14492753623188406
2020,025,Purple,6,0.8695652173913043
2020,026,Mouse Gray,99,14.347826086956522
2020,027,Ink Black,351,50.869565217391305
2020,030,Cherry Blossom Pink,1,0.14492753623188406
2021,001,Plum Mouse Gray,25,6.868131868131868
2021,002,Shrimp Brown,20,5.4945054945054945
2021,004,Cherry Mouse Gray,4,1.098901098901099
2021,005,Indigo Mouse Gray,13,3.5714285714285716
2021,006,Willow Mouse Gray,2,0.5494505494505495
2021,007,Nightingale Brown,37,10.164835164835164
2021,008,Seaweed Brown,17,4.670329670329671
2021,009,Navy Blue,7,1.9230769230769231
2021,011,Nightingale Green,1,0.27472527472527475
2021,014,Azuki Bean Red,20,5.4945054945054945
2021,016,Mustard,2,0.5494505494505495
2021,017,Peony Pink,1,0.27472527472527475
2021,021,Dayflower Blue,7,1.9230769230769231
2021,025,Purple,1,0.27472527472527475
2021,026,Mouse Gray,64,17.582417582417584
2021,027,Ink Black,143,39.285714285714285
2022,001,Plum Mouse Gray,18,4.072398190045249
2022,002,Shrimp Brown,22,4.97737556561086
2022,003,Fukagawa Mouse Gray,3,0.6787330316742082
2022,004,Cherry Mouse Gray,3,0.6787330316742082
2022,005,Indigo Mouse Gray,11,2.48868778280543
2022,007,Nightingale Brown,53,11.990950226244344
2022,008,Seaweed Brown,14,3.167420814479638
2022,009,Navy Blue,5,1.1312217194570136
2022,010,Crimson,1,0.22624434389140272
2022,011,Nightingale Green,1,0.22624434389140272
2022,012,Siskin Brown,1,0.22624434389140272
2022,014,Azuki Bean Red,33,7.46606334841629
2022,017,Peony Pink,1,0.22624434389140272
2022,018,Blue-Green,1,0.22624434389140272
2022,021,Dayflower Blue,3,0.6787330316742082
2022,025,Purple,2,0.45248868778280543
2022,026,Mouse Gray,65,14.705882352941176
2022,027,Ink Black,205,46.380090497737555
2023,001,Plum Mouse Gray,23,5.450236966824645
2023,002,Shrimp Brown,21,4.976303317535545
2023,003,Fukagawa Mouse Gray,2,0.47393364928909953
2023,005,Indigo Mouse Gray,15,3.5545023696682465
2023,006,Willow Mouse Gray,1,0.23696682464454977
2023,007,Nightingale Brown,43,10.189573459715639
2023,008,Seaweed Brown,10,2.3696682464454977
2023,009,Navy Blue,2,0.47393364928909953
2023,011,Nightingale Green,2,0.47393364928909953
2023,014,Azuki Bean Red,22,5.213270142180095
2023,015,Water Blue,1,0.23696682464454977
2023,016,Mustard,1,0.23696682464454977
2023,021,Dayflower Blue,5,1.1848341232227488
2023,025,Purple,2,0.47393364928909953
2023,026,Mouse Gray,65,15.402843601895734
2023,027,Ink Black,207,49.052132701421804
